,Booking date,Quantity,Customer ID,Product ID,Channel,Landingpage,Channel_Name,Booking Sequence,Previous Booking date,Previous Product ID,Previous Channel,Previous Channel_Name,Previous Landingpage
197,21.09.2017,2,109,29,0,0,CRM,5,17.09.2018,238.0,0.0,CRM,0.0
198,10.10.2018,2,110,48,3,3,SEA,1,,,,,
199,27.12.2017,2,111,9,0,0,CRM,1,,,,,
200,13.07.2017,1,112,27,0,0,CRM,1,,,,,
201,16.02.2017,1,112,42,3,4,SEA,2,13.07.2017,27.0,0.0,CRM,0.0
202,20.02.2019,1,112,238,3,4,SEA,3,16.02.2017,42.0,3.0,SEA,4.0
203,31.01.2017,1,112,63,4,7,Store,4,20.02.2019,238.0,3.0,SEA,4.0
204,15.03.2019,2,113,231,0,0,CRM,1,,,,,
205,07.12.2015,2,114,143,3,3,SEA,1,,,,,
206,30.10.2014,2,115,976,3,3,SEA,1,,,,,
207,24.04.2019,2,116,238,3,5,SEA,1,,,,,
208,18.09.2015,2,117,571,4,15,Store,1,,,,,
209,10.09.2014,2,118,748,4,8,Store,1,,,,,
210,07.04.2016,2,119,124,4,12,Store,1,,,,,
211,12.10.2017,2,120,188,3,3,SEA,1,,,,,
212,13.08.2018,4,120,359,0,0,CRM,2,12.10.2017,188.0,3.0,SEA,3.0
213,21.11.2017,2,120,307,0,0,CRM,3,13.08.2018,359.0,0.0,CRM,0.0
214,06.09.2018,2,121,26,0,0,CRM,1,,,,,
215,07.11.2015,2,121,233,3,4,SEA,2,06.09.2018,26.0,0.0,CRM,0.0
216,11.06.2017,2,121,521,0,0,CRM,3,07.11.2015,233.0,3.0,SEA,4.0
217,12.12.2017,2,121,135,0,0,CRM,4,11.06.2017,521.0,0.0,CRM,0.0
218,13.03.2018,2,121,429,0,0,CRM,5,12.12.2017,135.0,0.0,CRM,0.0
219,15.11.2018,2,121,249,5,19,Affiliate B,6,13.03.2018,429.0,0.0,CRM,0.0
220,27.11.2017,2,121,271,0,0,CRM,7,15.11.2018,249.0,5.0,Affiliate B,19.0
221,30.04.2016,2,121,104,0,0,CRM,8,27.11.2017,271.0,0.0,CRM,0.0
222,03.08.2019,2,122,273,4,6,Store,1,,,,,
223,13.10.2015,6,123,157,4,8,Store,1,,,,,
224,18.10.2017,2,124,140,2,2,Direct,1,,,,,
225,04.09.2017,2,125,178,4,8,Store,1,,,,,
226,31.10.2018,4,125,171,1,1,Affiliate A,2,04.09.2017,178.0,4.0,Store,8.0
227,04.10.2018,1,126,26,4,7,Store,1,,,,,
228,19.11.2018,1,126,355,3,3,SEA,2,04.10.2018,26.0,4.0,Store,7.0
229,08.08.2012,2,127,534,0,0,CRM,1,,,,,
230,15.11.2012,2,128,552,2,2,Direct,1,,,,,
231,25.06.2018,2,129,288,0,0,CRM,1,,,,,
232,03.02.2017,2,130,215,2,2,Direct,1,,,,,
233,13.12.2013,1,131,641,0,0,CRM,1,,,,,
234,11.01.2017,2,132,18,3,3,SEA,1,,,,,
235,07.08.2018,2,133,127,0,0,CRM,1,,,,,
236,23.10.2015,2,134,185,2,2,Direct,1,,,,,
237,03.04.2017,2,135,334,3,4,SEA,1,,,,,
238,31.12.2017,2,136,207,0,0,CRM,1,,,,,
239,14.11.2018,4,137,311,1,1,Affiliate A,1,,,,,
240,18.09.2015,4,137,353,0,0,CRM,2,14.11.2018,311.0,1.0,Affiliate A,1.0
241,23.07.2018,4,137,278,0,0,CRM,3,18.09.2015,353.0,0.0,CRM,0.0
242,26.10.2017,4,137,27,2,2,Direct,4,23.07.2018,278.0,0.0,CRM,0.0
243,28.06.2016,4,137,286,0,0,CRM,5,26.10.2017,27.0,2.0,Direct,2.0
244,29.04.2016,4,137,433,1,1,Affiliate A,6,28.06.2016,286.0,0.0,CRM,0.0
245,31.07.2019,4,137,58,0,0,CRM,7,29.04.2016,433.0,1.0,Affiliate A,1.0
246,16.09.2014,4,138,640,2,2,Direct,1,,,,,
247,11.06.2019,2,139,343,0,0,CRM,1,,,,,
248,17.12.2018,1,139,183,0,0,CRM,2,11.06.2019,343.0,0.0,CRM,0.0
249,27.09.2016,2,140,205,5,18,Affiliate B,1,,,,,
250,08.06.2018,12,141,265,4,7,Store,1,,,,,
251,29.10.2018,2,142,10,2,2,Direct,1,,,,,
252,27.09.2016,2,143,205,5,18,Affiliate B,1,,,,,
253,04.08.2018,2,144,242,0,0,CRM,1,,,,,
254,09.10.2018,2,145,23,4,7,Store,1,,,,,
255,28.01.2019,2,146,30,2,2,Direct,1,,,,,
256,15.04.2012,2,147,544,4,6,Store,1,,,,,
257,25.11.2015,2,148,112,4,8,Store,1,,,,,
258,04.01.2016,2,149,363,3,3,SEA,1,,,,,
259,04.10.2016,2,150,205,5,18,Affiliate B,1,,,,,
260,10.09.2018,2,150,23,0,0,CRM,2,04.10.2016,205.0,5.0,Affiliate B,18.0
261,13.02.2019,2,150,139,0,0,CRM,3,10.09.2018,23.0,0.0,CRM,0.0
262,14.11.2018,2,150,54,0,0,CRM,4,13.02.2019,139.0,0.0,CRM,0.0
263,16.11.2017,2,150,136,4,8,Store,5,14.11.2018,54.0,0.0,CRM,0.0
264,07.05.2019,2,151,10,4,8,Store,1,,,,,
265,06.10.2018,2,152,53,0,0,CRM,1,,,,,
266,18.11.2015,2,152,5,3,3,SEA,2,06.10.2018,53.0,0.0,CRM,0.0
267,27.09.2017,2,152,178,4,8,Store,3,18.11.2015,5.0,3.0,SEA,3.0
268,28.12.2017,2,152,207,0,0,CRM,4,27.09.2017,178.0,4.0,Store,8.0
269,14.11.2018,6,153,211,2,2,Direct,1,,,,,
270,18.06.2019,2,154,278,0,0,CRM,1,,,,,
271,28.11.2018,2,154,90,0,0,CRM,2,18.06.2019,278.0,0.0,CRM,0.0
272,29.01.2018,2,154,243,2,2,Direct,3,28.11.2018,90.0,0.0,CRM,0.0
273,19.11.2016,3,155,202,5,18,Affiliate B,1,,,,,
274,12.02.2019,2,156,81,3,3,SEA,1,,,,,
275,13.07.2016,4,157,162,4,8,Store,1,,,,,
276,13.08.2013,2,158,644,0,0,CRM,1,,,,,
277,23.09.2018,3,159,171,3,3,SEA,1,,,,,
278,29.11.2017,1,160,141,5,18,Affiliate B,1,,,,,
279,02.10.2015,2,161,465,0,0,CRM,1,,,,,
280,20.01.2018,2,161,271,2,2,Direct,2,02.10.2015,465.0,0.0,CRM,0.0
281,18.12.2018,1,162,10,2,2,Direct,1,,,,,
282,13.11.2016,4,163,18,4,6,Store,1,,,,,
283,26.10.2016,2,164,28,5,18,Affiliate B,1,,,,,
284,11.07.2019,2,165,337,4,8,Store,1,,,,,
285,26.09.2016,2,166,205,5,18,Affiliate B,1,,,,,
286,30.01.2019,2,166,919,5,18,Affiliate B,2,26.09.2016,205.0,5.0,Affiliate B,18.0
287,13.02.2017,2,167,215,2,2,Direct,1,,,,,
288,02.10.2009,2,168,1005,1,1,Affiliate A,1,,,,,
289,24.04.2018,2,169,135,4,12,Store,1,,,,,
290,25.08.2019,2,169,0,1,1,Affiliate A,2,24.04.2018,135.0,4.0,Store,12.0
291,28.11.2014,1,170,535,0,0,CRM,1,,,,,
292,24.09.2015,2,171,91,4,12,Store,1,,,,,
293,02.08.2017,2,172,306,0,0,CRM,1,,,,,
294,09.08.2016,2,172,146,0,0,CRM,2,02.08.2017,306.0,0.0,CRM,0.0
295,23.01.2017,2,172,122,4,7,Store,3,09.08.2016,146.0,0.0,CRM,0.0
296,25.11.2015,2,172,418,3,3,SEA,4,23.01.2017,122.0,4.0,Store,7.0
297,27.07.2017,2,172,7,0,0,CRM,5,25.11.2015,418.0,3.0,SEA,3.0
298,29.06.2016,1,173,185,2,2,Direct,1,,,,,
299,28.10.2015,2,174,206,2,2,Direct,1,,,,,
300,04.03.2019,2,175,38,4,6,Store,1,,,,,
301,28.08.2016,2,176,316,4,8,Store,1,,,,,
302,15.01.2019,2,177,75,0,0,CRM,1,,,,,
303,18.09.2018,2,177,238,0,0,CRM,2,15.01.2019,75.0,0.0,CRM,0.0
304,19.03.2018,2,177,227,0,0,CRM,3,18.09.2018,238.0,0.0,CRM,0.0
305,19.05.2019,2,177,55,0,0,CRM,4,19.03.2018,227.0,0.0,CRM,0.0
306,20.12.2017,2,177,9,0,0,CRM,5,19.05.2019,55.0,0.0,CRM,0.0
307,22.11.2018,2,177,32,0,0,CRM,6,20.12.2017,9.0,0.0,CRM,0.0
308,23.06.2017,2,177,15,0,0,CRM,7,22.11.2018,32.0,0.0,CRM,0.0
309,26.12.2015,2,177,204,4,8,Store,8,23.06.2017,15.0,0.0,CRM,0.0
310,10.01.2018,2,178,243,2,2,Direct,1,,,,,
311,07.09.2018,2,179,278,4,8,Store,1,,,,,
312,04.01.2019,2,180,52,4,7,Store,1,,,,,
313,20.02.2016,2,181,195,0,0,CRM,1,,,,,
314,09.08.2019,2,182,262,0,0,CRM,1,,,,,
315,08.02.2019,2,183,287,4,6,Store,1,,,,,
316,26.02.2016,4,183,496,3,3,SEA,2,08.02.2019,287.0,4.0,Store,6.0
317,26.10.2015,2,184,185,3,4,SEA,1,,,,,
318,16.04.2018,2,185,141,0,0,CRM,1,,,,,
319,28.02.2019,2,185,224,0,0,CRM,2,16.04.2018,141.0,0.0,CRM,0.0
320,30.08.2017,2,185,136,4,8,Store,3,28.02.2019,224.0,0.0,CRM,0.0
321,31.05.2016,1,186,522,3,4,SEA,1,,,,,
322,17.10.2018,1,187,47,0,0,CRM,1,,,,,
323,21.10.2018,2,188,30,0,0,CRM,1,,,,,
324,04.06.2019,1,189,238,4,8,Store,1,,,,,
325,09.05.2018,1,189,140,5,19,Affiliate B,2,04.06.2019,238.0,4.0,Store,8.0
326,16.07.2019,1,189,24,0,0,CRM,3,09.05.2018,140.0,5.0,Affiliate B,19.0
327,01.02.2017,2,190,298,0,0,CRM,1,,,,,
328,01.09.2016,2,190,466,0,0,CRM,2,01.02.2017,298.0,0.0,CRM,0.0
329,13.11.2017,2,190,7,0,0,CRM,3,01.09.2016,466.0,0.0,CRM,0.0
330,22.04.2017,2,190,67,0,0,CRM,4,13.11.2017,7.0,0.0,CRM,0.0
331,20.11.2018,2,191,369,0,0,CRM,1,,,,,
332,09.01.2016,2,192,124,0,0,CRM,1,,,,,
333,24.10.2014,2,193,926,2,2,Direct,1,,,,,
334,04.12.2017,1,194,11,3,4,SEA,1,,,,,
335,24.07.2017,2,194,358,5,18,Affiliate B,2,04.12.2017,11.0,3.0,SEA,4.0
336,11.03.2017,1,195,97,3,4,SEA,1,,,,,
337,18.10.2017,1,195,163,3,4,SEA,2,11.03.2017,97.0,3.0,SEA,4.0
338,26.09.2018,1,195,216,0,0,CRM,3,18.10.2017,163.0,3.0,SEA,4.0
339,10.01.2016,2,196,5,3,4,SEA,1,,,,,
340,16.08.2019,6,197,34,4,8,Store,1,,,,,
341,03.08.2017,2,198,27,4,8,Store,1,,,,,
342,07.06.2019,2,198,238,4,8,Store,2,03.08.2017,27.0,4.0,Store,8.0
343,20.06.2014,2,199,785,4,7,Store,1,,,,,
344,12.01.2015,2,200,593,0,0,CRM,1,,,,,
345,06.11.2017,1,201,156,3,3,SEA,1,,,,,
346,13.11.2017,2,202,31,0,0,CRM,1,,,,,
347,19.10.2016,2,202,3,0,0,CRM,2,13.11.2017,31.0,0.0,CRM,0.0
348,20.06.2018,2,202,231,0,0,CRM,3,19.10.2016,3.0,0.0,CRM,0.0
349,25.06.2019,2,202,282,0,0,CRM,4,20.06.2018,231.0,0.0,CRM,0.0
350,27.07.2019,4,202,148,0,0,CRM,5,25.06.2019,282.0,0.0,CRM,0.0
351,29.04.2015,2,202,515,1,1,Affiliate A,6,27.07.2019,148.0,0.0,CRM,0.0
352,11.12.2017,2,203,135,0,0,CRM,1,,,,,
353,09.02.2017,2,204,62,0,0,CRM,1,,,,,
354,12.02.2018,2,204,101,0,0,CRM,2,09.02.2017,62.0,0.0,CRM,0.0
355,13.02.2017,2,205,254,3,3,SEA,1,,,,,
356,03.01.2017,2,206,97,4,6,Store,1,,,,,
357,12.01.2018,2,206,2,0,0,CRM,2,03.01.2017,97.0,4.0,Store,6.0
358,14.02.2019,2,206,54,0,0,CRM,3,12.01.2018,2.0,0.0,CRM,0.0
359,09.08.2019,2,207,114,0,0,CRM,1,,,,,
360,07.11.2015,2,208,157,3,3,SEA,1,,,,,
361,06.07.2016,2,209,286,0,0,CRM,1,,,,,
362,07.08.2019,2,209,58,0,0,CRM,2,06.07.2016,286.0,0.0,CRM,0.0
363,16.07.2017,2,209,214,0,0,CRM,3,07.08.2019,58.0,0.0,CRM,0.0
364,23.06.2019,2,209,285,0,0,CRM,4,16.07.2017,214.0,0.0,CRM,0.0
365,30.12.2015,2,209,130,4,12,Store,5,23.06.2019,285.0,0.0,CRM,0.0
366,11.07.2018,2,210,171,4,8,Store,1,,,,,
367,15.07.2019,2,210,282,1,1,Affiliate A,2,11.07.2018,171.0,4.0,Store,8.0
368,31.03.2018,2,211,95,0,0,CRM,1,,,,,
369,02.06.2017,4,212,521,0,0,CRM,1,,,,,
370,04.07.2017,4,212,442,1,1,Affiliate A,2,02.06.2017,521.0,0.0,CRM,0.0
371,07.09.2015,2,212,399,4,6,Store,3,04.07.2017,442.0,1.0,Affiliate A,1.0
372,16.10.2018,2,212,574,1,1,Affiliate A,4,07.09.2015,399.0,4.0,Store,6.0
373,19.03.2019,2,212,82,1,1,Affiliate A,5,16.10.2018,574.0,1.0,Affiliate A,1.0
374,23.08.2018,2,212,564,0,0,CRM,6,19.03.2019,82.0,1.0,Affiliate A,1.0
375,29.08.2016,4,212,388,0,0,CRM,7,23.08.2018,564.0,0.0,CRM,0.0
376,25.08.2014,2,213,891,4,7,Store,1,,,,,
377,18.11.2015,2,214,89,2,2,Direct,1,,,,,
378,24.04.2018,2,215,9,3,3,SEA,1,,,,,
379,16.09.2016,4,216,134,5,18,Affiliate B,1,,,,,
380,19.02.2019,4,216,59,0,0,CRM,2,16.09.2016,134.0,5.0,Affiliate B,18.0
381,15.10.2017,2,217,192,0,0,CRM,1,,,,,
382,17.01.2019,2,217,190,0,0,CRM,2,15.10.2017,192.0,0.0,CRM,0.0
383,17.02.2019,2,217,59,0,0,CRM,3,17.01.2019,190.0,0.0,CRM,0.0
